Flags Found:  0 | Visited:     1 | To Visit:     1 | Runtime: 0m 0s 927ms
Flags Found:  0 | Visited:     2 | To Visit:    10 | Runtime: 0m 1s 344ms
Flags Found:  0 | Visited:    12 | To Visit:    10 | Runtime: 0m 1s 808ms
Flags Found:  0 | Visited:    22 | To Visit:   196 | Runtime: 0m 2s 285ms
Flags Found:  0 | Visited:    32 | To Visit:   221 | Runtime: 0m 2s 896ms
Flags Found:  0 | Visited:    42 | To Visit:   306 | Runtime: 0m 3s 415ms
Flags Found:  0 | Visited:    52 | To Visit:   322 | Runtime: 0m 4s 2ms
Flags Found:  0 | Visited:    62 | To Visit:   430 | Runtime: 0m 4s 497ms

6cebb2d7f4acde287418115dd554fc7e4cd9f346536b402abdd19b18981d4fd7

Flags Found:  1 | Visited:    72 | To Visit:   440 | Runtime: 0m 5s 86ms
Flags Found:  1 | Visited:    82 | To Visit:   539 | Runtime: 0m 5s 597ms
Flags Found:  1 | Visited:    92 | To Visit:   556 | Runtime: 0m 6s 170ms
Flags Found:  1 | Visited:   102 | To Visit:   620 | Runtime: 0m 6s 730ms
Flags Found:  1 | Visited:   112 | To Visit:   660 | Runtime: 0m 7s 289ms
Flags Found:  1 | Visited:   122 | To Visit:   712 | Runtime: 0m 7s 917ms
Flags Found:  1 | Visited:   132 | To Visit:   735 | Runtime: 0m 8s 394ms
Flags Found:  1 | Visited:   142 | To Visit:   779 | Runtime: 0m 8s 875ms
Flags Found:  1 | Visited:   152 | To Visit:   806 | Runtime: 0m 9s 345ms
Flags Found:  1 | Visited:   162 | To Visit:   860 | Runtime: 0m 9s 896ms
Flags Found:  1 | Visited:   172 | To Visit:   899 | Runtime: 0m 10s 448ms
Flags Found:  1 | Visited:   182 | To Visit:   934 | Runtime: 0m 11s 3ms
Flags Found:  1 | Visited:   192 | To Visit:   972 | Runtime: 0m 11s 549ms
Flags Found:  1 | Visited:   202 | To Visit:  1021 | Runtime: 0m 12s 114ms
Flags Found:  1 | Visited:   212 | To Visit:  1055 | Runtime: 0m 12s 681ms
Flags Found:  1 | Visited:   222 | To Visit:  1055 | Runtime: 0m 13s 262ms
Flags Found:  1 | Visited:   232 | To Visit:  1122 | Runtime: 0m 13s 735ms
Flags Found:  1 | Visited:   242 | To Visit:  1144 | Runtime: 0m 14s 260ms
Flags Found:  1 | Visited:   252 | To Visit:  1157 | Runtime: 0m 14s 777ms

6dbf3179d4635b6dd988c10d5afd8db8f61a5458a8327b06edd8e4432bcbfaf4

Flags Found:  2 | Visited:   262 | To Visit:  1190 | Runtime: 0m 15s 315ms
Flags Found:  2 | Visited:   272 | To Visit:  1196 | Runtime: 0m 15s 841ms
Flags Found:  2 | Visited:   282 | To Visit:  1251 | Runtime: 0m 16s 397ms
Flags Found:  2 | Visited:   292 | To Visit:  1267 | Runtime: 0m 16s 916ms
Flags Found:  2 | Visited:   302 | To Visit:  1272 | Runtime: 0m 17s 424ms
